year,Overnights visitors (Inbound Arrivals),FromAfrica,FromAmerica,FromEastAsiaandthePacific,FromEurope,FromSouthAsia,Personal(Visit),BusinessAndProfessional(Visit),Air(Travel),Land(Travel),TravelExpendeture(US$ Millions),PassengerTransportExpendeture(US$ Millions),Number of establishments,Number of rooms,Number of bed-places,Average length of stay(Nights),Total Tourists
1995,5.0,0.0,1.0,1.5,2.2,0.0,4.8,0.0,5.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,3.7
1996,5.0,0.0,1.1,1.6,2.4,0.0,5.2,0.0,5.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,4.0
1997,5.0,0.0,1.0,1.7,2.6,0.0,5.4,0.0,5.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,4.3
1998,6.0,0.0,1.6,1.4,3.2,0.0,6.2,0.0,6.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,4.6
1999,7.0,0.0,2.3,1.6,3.1,0.0,7.2,0.0,7.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,4.7
2000,8.0,0.0,3.0,1.4,3.0,0.0,7.6,0.0,8.0,0.0,77.0,0.0,0.0,1215.0,2153.0,7.0,4.4
2001,6.0,0.0,2.4,1.4,2.5,0.0,6.4,0.0,6.0,0.0,85.0,1.0,0.0,1215.0,2153.0,0.0,3.9
2002,6.0,0.0,2.2,1.3,2.1,0.0,5.6,0.0,4.0,2.0,93.0,2.0,0.0,1239.0,2366.0,8.0,3.4000000000000004
2003,6.0,0.0,2.0,1.4,2.8,0.0,6.3,0.0,5.0,1.0,106.0,2.0,0.0,1239.0,2366.0,8.0,4.199999999999999
2004,9.0,0.0,3.6,1.7,3.9,0.0,9.2,0.0,7.0,3.0,118.0,3.0,0.0,1239.0,2366.0,8.0,5.6
2005,14.0,0.0,5.2,2.8,5.6,0.0,13.6,0.0,12.0,2.0,103.0,5.0,0.0,1436.0,2636.0,8.5,8.399999999999999
2006,17.0,0.1,5.6,4.3,7.3,0.0,17.3,0.0,14.0,3.0,116.0,6.0,0.0,1532.0,2746.0,8.0,11.7
2007,21.0,0.1,6.7,5.4,8.9,0.0,21.0,0.0,16.0,5.0,206.0,0.3,93.0,1860.0,3320.0,7.9,14.4
2008,28.0,0.1,8.2,7.4,11.8,0.1,26.0,2.0,23.0,5.0,236.0,0.4,132.0,2004.0,3531.0,7.8,19.400000000000002
2009,23.0,0.1,5.7,7.7,9.9,0.1,22.0,2.0,19.0,4.0,131.0,0.4,143.0,2385.0,4183.0,7.6,17.8
2010,41.0,0.1,6.5,8.6,11.9,0.1,37.0,4.0,35.0,6.0,149.0,0.4,119.0,2454.0,4868.0,7.6,20.700000000000003
2011,66.0,0.1,8.1,14.9,14.2,0.2,43.0,23.0,57.0,9.0,180.0,21.0,128.0,2805.0,5572.0,7.5,29.4
2012,105.0,0.1,7.9,21.3,14.4,0.2,85.0,20.0,60.0,46.0,170.0,4.0,123.0,2749.0,5464.0,0.0,36.00000000000001
2013,116.0,0.1,9.1,21.2,13.6,0.2,98.0,18.0,61.0,56.0,189.0,4.0,123.0,2805.0,5572.0,0.0,35.1
2014,133.0,0.2,9.8,32.1,15.6,0.2,118.0,16.0,66.0,68.0,151.0,2.0,139.0,3204.0,6380.0,0.0,48.10000000000001
2015,155.0,0.1,9.4,24.7,14.4,0.2,140.0,15.0,86.0,69.0,141.0,7.0,93.0,2463.0,4925.0,0.0,39.400000000000006
2016,210.0,0.1,9.4,30.3,14.4,0.3,192.0,18.0,104.0,106.0,123.0,6.0,116.0,3292.0,6029.0,0.0,45.1
2017,255.0,0.1,12.3,33.3,16.2,0.4,238.0,17.0,127.0,128.0,150.0,10.0,124.0,3449.0,6629.0,0.0,49.99999999999999
2018,274.0,0.1,14.1,29.7,18.8,0.4,259.0,15.0,142.0,132.0,162.0,13.0,136.0,3721.0,7167.0,0.0,49.0
2019,316.0,0.3,15.1,33.3,21.3,245.3,298.0,17.0,143.0,173.0,240.0,1.0,160.0,4335.0,7777.0,0.0,300.2
2020,30.0,0.0,1.4,2.8,1.9,23.6,28.0,2.0,11.0,19.0,200.0,3.0,173.0,4532.0,8394.0,0.0,28.3
2021,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,3.0,182.0,4738.0,8762.0,0.0,0.0
2022,20.9,0.0,2.9,3.6,3.0,11.0,0.0,0.0,10.9,10.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6
